TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-001,35th/Halsted,2021,Proposed Projects,Building renovation - 1869 W Pershing - Phase 2,-10000000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Proposed Projects,SBIF,-500000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Revenue,Property tax,10379500,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,"Arterial resurfacing - 35th, Ashland to Racine",-84900,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Bridge repair - 35th/S Fork Chicago River,-991700,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Building rehab - Pershing Tower,-1146900,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Building repairs - Pershing Warehouse,-4924600,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,DSS - Ward Yard improvements,-27700,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Environmental remediation,-6200,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Industrial street improvements - 37th & Racine,-5400,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Planned Manufacturing District study,-5400,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Pre-acquisition costs,-60200,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,RDA - Acre Development,-280600,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,"Resurfacing - Benson, 38th Pl to 37th Pl",-256900,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,SBIF,-661800,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,"Streetscape - Morgan, 31st to 35th",-770400,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,TIF Works,-324800,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Fund Balance,FY 2018 Year End Available Fund Balance,26991300,01/14/1997,12/31/2021
T-004,49th Street/St. Lawrence Avenue,2019,Current Obligations,Program administration,-9600,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2019,Current Obligations,RDA - Willard Square,-339000,01/10/1996,12/31/2020
T-125,119th/I-57,2020,Current Obligations,NIF,-500000,11/06/2002,12/31/2026
T-004,49th Street/St. Lawrence Avenue,2019,Revenue,Property tax,567800,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2020,Current Obligations,Program administration,-9900,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2020,Current Obligations,RDA - Willard Square,-335000,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2020,Fund Balance,Surplus TIF Funds - 2020,-91000,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2020,Proposed Projects,CDOT - Neighborhood Infrastructure Improvements,-500000,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2020,Revenue,Property tax,567800,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-157300,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,Fund / Project Balances,Fund Balance,FY 2018 Year End Available Fund Balance,1586200,01/10/1996,12/31/2020
T-005,60th and Western,2019,Current Obligations,Professional services,-500,05/09/1996,05/09/2019
T-005,60th and Western,2019,Current Obligations,Program administration,-5500,05/09/1996,05/09/2019
T-005,60th and Western,2019,Revenue,Property tax,196400,05/09/1996,05/09/2019
T-005,60th and Western,2019,Transfers Between TIF Districts,To 63rd/Ashland (Lighting),-800000,05/09/1996,05/09/2019
T-005,60th and Western,2020,Proposed Transfers,To 63rd/Ashland (Englewood Trails),-300000,05/09/1996,05/09/2019
T-005,60th and Western,2020,Revenue,Property tax,196400,05/09/1996,05/09/2019
T-005,60th and Western,Fund / Project Balances,Current Obligations,Englewood Trails feasibility study,-9700,05/09/1996,05/09/2019
T-005,60th and Western,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-1022500,05/09/1996,05/09/2019
T-005,60th and Western,Fund / Project Balances,Fund Balance,FY 2018 Year End Available Fund Balance,1793300,05/09/1996,05/09/2019
T-009,95th and Western,2019,Current Obligations,Program administration,-19200,07/13/1995,12/31/2019
T-009,95th and Western,2019,Current Obligations,Streetscape - 95th St - (Phase 3) - 2018/2020,-4200000,07/13/1995,12/31/2019
T-009,95th and Western,2019,Current Obligations,Streetscape - 95th St - (Phase 3) - 2018/2020 - cashflow adjustment,2100000,07/13/1995,12/31/2019
T-009,95th and Western,2019,Current Obligations,TIF Plan Amendment - 12-Year Extension,-300000,07/13/1995,12/31/2019
T-009,95th and Western,2019,Revenue,Property tax,1261800,07/13/1995,12/31/2019
T-009,95th and Western,2019,Transfers Between TIF Districts,From Western/Rock Island (Repay prior transfer),1200000,07/13/1995,12/31/2019
T-009,95th and Western,2020,Current Obligations,Streetscape - 95th St - (Phase 3) - 2018/2020 - cashflow adjustment,-2100000,07/13/1995,12/31/2019
T-009,95th and Western,2020,Proposed Projects,Lighting - Neighborhood Lighting Improvements,-800000,07/13/1995,12/31/2019
T-009,95th and Western,2020,Revenue,Property tax,1261800,07/13/1995,12/31/2019
T-009,95th and Western,2021,Revenue,Property tax,1261800,07/13/1995,12/31/2019
T-009,95th and Western,2022,Revenue,Property tax,1332400,07/13/1995,12/31/2019
T-009,95th and Western,2023,Revenue,Property tax,1332400,07/13/1995,12/31/2019
T-009,95th and Western,2024,Revenue,Property tax,1332400,07/13/1995,12/31/2019
T-009,95th and Western,2025,Revenue,Property tax,1405200,07/13/1995,12/31/2019
T-009,95th and Western,2026,Revenue,Property tax,1405200,07/13/1995,12/31/2019
T-009,95th and Western,2027,Revenue,Property tax,1405200,07/13/1995,12/31/2019
T-009,95th and Western,2028,Revenue,Property tax,1480200,07/13/1995,12/31/2019
T-009,95th and Western,2029,Revenue,Property tax,1480200,07/13/1995,12/31/2019
T-009,95th and Western,2030,Revenue,Property tax,1480200,07/13/1995,12/31/2019
T-009,95th and Western,2031,Revenue,Property tax,1557400,07/13/1995,12/31/2019
T-009,95th and Western,Fund / Project Balances,Current Obligations,Streetscape - 95th St - (Phase 3) - 2018/2020,-106000,07/13/1995,12/31/2019
T-009,95th and Western,Fund / Project Balances,Fund Balance,FY 2018 Year End Available Fund Balance,1757000,07/13/1995,12/31/2019
T-013,Bryn Mawr/Broadway,2019,Current Obligations,Lighting - Neighborhood Lighting Improvements,-300000,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2019,Current Obligations,Professional services,3800,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2019,Current Obligations,Program administration,-37600,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2019,Current Obligations,RDA - Bryn Mawr - Bellshore,-216200,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2019,Current Obligations,SBIF,-500000,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2019,Current Obligations,Viaduct - improvements - CTA Argyle station,80600,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2019,Fund Balance,Surplus TIF Funds - 2019,-2239000,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2019,Revenue,Property tax,2703100,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2020,Current Obligations,SBIF,-500000,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2020,Fund Balance,Surplus TIF Funds - 2020,-2584900,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2020,Proposed Projects,Proposed park project #1,-125000,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2020,Revenue,Property tax,2703100,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2021,Revenue,Property tax,2703100,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2022,Revenue,Property tax,2821000,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2023,Revenue,Property tax,2821000,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2024,Revenue,Property tax,2821000,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2025,Revenue,Property tax,2942500,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2026,Revenue,Property tax,2942500,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2027,Revenue,Property tax,2942500,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2028,Revenue,Property tax,3067600,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2029,Revenue,Property tax,3067600,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2030,Revenue,Property tax,3067600,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2031,Revenue,Property tax,3196400,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,2032,Revenue,Property tax,3196400,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Intersection improvements - Bryn Mawr/Sheridan,-230000,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-824800,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Professional services,-4300,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Retail Corridor Study - Ward 48,-6800,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,SBIF,-341500,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,TIF Works,-62300,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Utility relocation - 5556 N Sheridan,-84000,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Viaduct - improvements - CTA Argyle station,-87700,12/11/1996,12/11/2019
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Fund Balance,FY 2018 Year End Available Fund Balance,5228500,12/11/1996,12/11/2019
T-021,Englewood Mall,2019,Current Obligations,Fire station - 6204 S Green - repairs,2600,11/29/1989,12/31/2025
T-021,Englewood Mall,2019,Current Obligations,Lighting - Neighborhood Lighting Improvements,-200000,11/29/1989,12/31/2025
T-021,Englewood Mall,2019,Current Obligations,Program administration,-15200,11/29/1989,12/31/2025
T-021,Englewood Mall,2019,Revenue,Property tax,739400,11/29/1989,12/31/2025
T-021,Englewood Mall,2020,Current Obligations,Program administration,-15600,11/29/1989,12/31/2025
T-021,Englewood Mall,2020,Current Obligations,Retail Thrive Zone,-304100,11/29/1989,12/31/2025
T-021,Englewood Mall,2020,Current Obligations,Urban Main Street Program - Phase I,-50300,11/29/1989,12/31/2025
T-021,Englewood Mall,2020,Proposed Projects,Proposed redevelopment project #1,-1900000,11/29/1989,12/31/2025
T-021,Englewood Mall,2020,Proposed Transfers,From Englewood Neighborhood (Proposed redevelopment project),1250000,11/29/1989,12/31/2025
T-021,Englewood Mall,2020,Revenue,Property tax,739400,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Current Obligations,Program administration,-16300,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Current Obligations,Urban Main Street Program - Phase I,-50300,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Proposed Projects,Proposed redevelopment project #1,-3850000,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Proposed Transfers,From Englewood Neighborhood (Proposed redevelopment project),2500000,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Revenue,Property tax,739400,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Current Obligations,Program administration,-17300,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Current Obligations,Urban Main Street Program - Phase I,-50300,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Proposed Projects,Proposed redevelopment project #1,-1250000,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Revenue,Property tax,768600,11/29/1989,12/31/2025
T-021,Englewood Mall,2023,Current Obligations,Program administration,-20300,11/29/1989,12/31/2025
T-021,Englewood Mall,2023,Revenue,Property tax,768600,11/29/1989,12/31/2025
T-021,Englewood Mall,2024,Current Obligations,Program administration,-26400,11/29/1989,12/31/2025
T-021,Englewood Mall,2024,Revenue,Property tax,768600,11/29/1989,12/31/2025
T-021,Englewood Mall,2025,Current Obligations,Program administration,-27500,11/29/1989,12/31/2025
T-021,Englewood Mall,2025,Revenue,Property tax,798700,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,Fire station - 6204 S Green - repairs,-2600,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,RDA - Halsted Parkways - construction management,-24500,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,RDA - Halsted Parkways - site preparation,-292500,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,Retail Thrive Zone - infrastructure,-8300,11/29/1989,12/31/2025
T-147,LaSalle Central,2019,Revenue,Property tax,99917300,11/15/2006,12/31/2030
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,SBIF - Retail Thrive Zone,-500000,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,"Sidewalks - 62nd, Green to Halsted",-591400,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,TIF Works,-75000,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Fund Balance,FY 2018 Year End Available Fund Balance,3909500,11/29/1989,12/31/2025
T-023,Goose Island,2019,Current Obligations,North Branch Industrial Corridor Planning Study,-50000,07/10/1996,07/10/2019
T-023,Goose Island,2019,Current Obligations,Program administration,-88500,07/10/1996,07/10/2019
T-023,Goose Island,2019,Current Obligations,RDA - Guardian Equipment,-223800,07/10/1996,07/10/2019
T-023,Goose Island,2019,Current Obligations,RDA - Wrigley Innovation Center,-874300,07/10/1996,07/10/2019
T-023,Goose Island,2019,Current Obligations,TIF Plan Amendment - 12-Year Extension,-300000,07/10/1996,07/10/2019
T-023,Goose Island,2019,Proposed Projects,TIF Works,-500000,07/10/1996,07/10/2019
T-023,Goose Island,2019,Revenue,Property tax,7198100,07/10/1996,07/10/2019
T-023,Goose Island,2020,Current Obligations,RDA - Guardian Equipment,-120000,07/10/1996,07/10/2019
T-023,Goose Island,2020,Current Obligations,RDA - Wrigley Innovation Center,-750300,07/10/1996,07/10/2019
T-023,Goose Island,2020,Fund Balance,Surplus TIF Funds - 2020,-9183000,07/10/1996,07/10/2019
T-023,Goose Island,2020,Revenue,Property tax,7198100,07/10/1996,07/10/2019
T-023,Goose Island,2021,Current Obligations,RDA - Guardian Equipment,-11800,07/10/1996,07/10/2019
T-023,Goose Island,2021,Revenue,Property tax,7198100,07/10/1996,07/10/2019
T-023,Goose Island,2022,Revenue,Property tax,7441600,07/10/1996,07/10/2019
T-023,Goose Island,2023,Revenue,Property tax,7441600,07/10/1996,07/10/2019
T-023,Goose Island,2024,Revenue,Property tax,7441600,07/10/1996,07/10/2019
T-023,Goose Island,2025,Revenue,Property tax,7692400,07/10/1996,07/10/2019
T-023,Goose Island,2026,Revenue,Property tax,7692400,07/10/1996,07/10/2019
T-023,Goose Island,2027,Revenue,Property tax,7692400,07/10/1996,07/10/2019
T-023,Goose Island,2028,Revenue,Property tax,7950800,07/10/1996,07/10/2019
T-023,Goose Island,2029,Revenue,Property tax,7950800,07/10/1996,07/10/2019
T-023,Goose Island,2030,Revenue,Property tax,7950800,07/10/1996,07/10/2019
T-023,Goose Island,2031,Revenue,Property tax,8216900,07/10/1996,07/10/2019
T-023,Goose Island,2032,Revenue,Property tax,8216900,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Current Obligations,Bridge - Division St - pre-construction,-2870000,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Current Obligations,Bridge - Division/Chicago River,-21400,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Current Obligations,Bridge - Division/N Branch Canal,-4009700,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-599000,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Current Obligations,North Branch Industrial Corridor Planning Study,-2100,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Current Obligations,North Branch Transportation Study,-112200,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Current Obligations,Pedestrial safety improvements,-28900,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Current Obligations,Planned Manufacturing District study,-200,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Current Obligations,RDA - Guardian Equipment,-94500,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Current Obligations,TIF Works,-65600,07/10/1996,07/10/2019
T-023,Goose Island,Fund / Project Balances,Fund Balance,FY 2018 Year End Available Fund Balance,13507300,07/10/1996,07/10/2019
T-024,Homan-Arthington,2019,Current Obligations,Program administration,-15000,02/05/1998,02/05/2021
T-024,Homan-Arthington,2019,Current Obligations,RDA - Uhlich Children's Advantage Network,-500000,02/05/1998,02/05/2021
T-024,Homan-Arthington,2019,Revenue,Property tax,628600,02/05/1998,02/05/2021
T-024,Homan-Arthington,2020,Current Obligations,Program administration,-15500,02/05/1998,02/05/2021
T-024,Homan-Arthington,2020,Current Obligations,RDA - Uhlich Children's Advantage Network,-500000,02/05/1998,02/05/2021
T-024,Homan-Arthington,2020,Fund Balance,Surplus TIF Funds - 2020,-111000,02/05/1998,02/05/2021
T-024,Homan-Arthington,2020,Revenue,Property tax,628600,02/05/1998,02/05/2021
T-024,Homan-Arthington,2021,Revenue,Property tax,314300,02/05/1998,02/05/2021
T-024,Homan-Arthington,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-943000,02/05/1998,02/05/2021
T-024,Homan-Arthington,Fund / Project Balances,Current Obligations,Police Station - Homan Square - renovations,-418000,02/05/1998,02/05/2021
T-024,Homan-Arthington,Fund / Project Balances,Current Obligations,TIF Works,-239500,02/05/1998,02/05/2021
T-024,Homan-Arthington,Fund / Project Balances,Fund Balance,FY 2018 Year End Available Fund Balance,3179400,02/05/1998,02/05/2021
T-027,Irving/Cicero,2019,Current Obligations,Lighting - Neighborhood Lighting Improvements,-320000,06/10/1996,12/31/2020
T-027,Irving/Cicero,2019,Current Obligations,Program administration,-13300,06/10/1996,12/31/2020
T-027,Irving/Cicero,2019,Fund Balance,Surplus TIF Funds - 2019,-99000,06/10/1996,12/31/2020
T-027,Irving/Cicero,2019,Fund Balance,Surplus TIF Funds - 2020,-10000,06/10/1996,12/31/2020
T-027,Irving/Cicero,2019,Proposed Projects,Infrastructure improvements - Six Corners,-300000,06/10/1996,12/31/2020
T-027,Irving/Cicero,2019,Proposed Projects,Pedestrian Alley - Cicero/Milwaukee,-690000,06/10/1996,12/31/2020
T-027,Irving/Cicero,2019,Revenue,Property tax,894300,06/10/1996,12/31/2020
T-027,Irving/Cicero,2020,Current Obligations,Program administration,-13800,06/10/1996,12/31/2020
T-027,Irving/Cicero,2020,Current Obligations,RDA - Klee Building,-91500,06/10/1996,12/31/2020
T-027,Irving/Cicero,2020,Proposed Projects,CDOT - Neighborhood Infrastructure Improvements,-1700000,06/10/1996,12/31/2020
T-027,Irving/Cicero,2020,Proposed Projects,SBIF,-500000,06/10/1996,12/31/2020
T-027,Irving/Cicero,2020,Revenue,Property tax,894300,06/10/1996,12/31/2020
T-027,Irving/Cicero,Fund / Project Balances,Current Obligations,RDA - Klee Building,-64000,06/10/1996,12/31/2020
T-027,Irving/Cicero,Fund / Project Balances,Current Obligations,SBIF,-27900,06/10/1996,12/31/2020
T-027,Irving/Cicero,Fund / Project Balances,Fund Balance,FY 2018 Year End Available Fund Balance,2083900,06/10/1996,12/31/2020
T-029,Michigan/Cermak,2019,Current Obligations,Cermak Rd public art installation,-500000,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2019,Current Obligations,IGA - CTA - Green Line - Cermak Station,453600,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2019,Current Obligations,Lighting - Neighborhood Lighting Improvements,-150000,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2019,Current Obligations,Program administration,-29000,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2019,Current Obligations,SBIF,-500000,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2019,Revenue,Property tax,2499300,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2020,Current Obligations,Program administration,-30000,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2020,Fund Balance,Surplus TIF Funds - 2020,-5109000,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2020,Revenue,Property tax,2499300,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2021,Current Obligations,Program administration,-31300,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2021,Revenue,Property tax,2499300,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2022,Current Obligations,Program administration,-33300,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2022,Revenue,Property tax,2585600,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2023,Current Obligations,Program administration,-39400,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2023,Revenue,Property tax,2585600,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2024,Current Obligations,Program administration,-52200,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2024,Revenue,Property tax,2585600,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2025,Current Obligations,Program administration,-54500,09/13/1989,12/31/2025
T-029,Michigan/Cermak,2025,Revenue,Property tax,2674500,09/13/1989,12/31/2025
T-029,Michigan/Cermak,Fund / Project Balances,Current Obligations,IGA - CTA - Green Line - Cermak Station,-453600,09/13/1989,12/31/2025
T-029,Michigan/Cermak,Fund / Project Balances,Current Obligations,SBIF,-107300,09/13/1989,12/31/2025
T-029,Michigan/Cermak,Fund / Project Balances,Current Obligations,"Streetscape - Michigan, 23rd to 24th",-688900,09/13/1989,12/31/2025
T-029,Michigan/Cermak,Fund / Project Balances,Fund Balance,FY 2018 Year End Available Fund Balance,6147700,09/13/1989,12/31/2025
T-030,Near North,2019,Current Obligations,Fire station repairs - Engine Co. 4,-500000,07/30/1997,12/31/2021
T-030,Near North,2019,Current Obligations,IGA - CPD - Near North Park Athletic Field,-1050000,07/30/1997,12/31/2021
T-030,Near North,2019,Current Obligations,Lighting - Neighborhood Lighting Improvements,-966000,07/30/1997,12/31/2021
T-030,Near North,2019,Current Obligations,"Lighting - Sedgwick, North to Division",92000,07/30/1997,12/31/2021
T-030,Near North,2019,Current Obligations,Program administration,-494400,07/30/1997,12/31/2021
T-030,Near North,2019,Current Obligations,RDA - Parkside II - Halsted,-6000000,07/30/1997,12/31/2021
T-030,Near North,2019,Current Obligations,Traffic signal - Halsted/Blackhawk,191000,07/30/1997,12/31/2021
T-030,Near North,2019,Fund Balance,Surplus TIF Funds - 2019,-15767000,07/30/1997,12/31/2021
T-030,Near North,2019,Revenue,Property tax,35002600,07/30/1997,12/31/2021
T-030,Near North,2020,Current Obligations,Bridge - Division St - constr,-7970000,07/30/1997,12/31/2021
T-030,Near North,2020,Current Obligations,CHA Transformation - Demolition - old Near North H.S.,-4200000,07/30/1997,12/31/2021
T-030,Near North,2020,Current Obligations,IGA - CPD - Near North Park Athletic Field,-2100000,07/30/1997,12/31/2021
T-030,Near North,2020,Current Obligations,IGA - CPD - Seward Park,-400000,07/30/1997,12/31/2021
T-030,Near North,2020,Current Obligations,IGA - PBC - new CPS HS site survey costs,-520000,07/30/1997,12/31/2021
T-030,Near North,2020,Current Obligations,Program administration,-510500,07/30/1997,12/31/2021
T-030,Near North,2020,Current Obligations,RDA - Parkside II - Halsted,-6000000,07/30/1997,12/31/2021
T-030,Near North,2020,Current Obligations,RDA - Parkside IIA Rental,-1213400,07/30/1997,12/31/2021
T-030,Near North,2020,Current Obligations,"Resurfacing - Oak, Orleans to Wells; Hobbie, Crosby to Larrabee",-100,07/30/1997,12/31/2021
