TIF Number,TIF Name,Tme Period,Type,Description,Amount,Designation Date,Expiration Date
T-176,107th/Halsted,2023,Transfers Between TIF Districts,From 119th/I-57 (Invest South West Program),1400000,03/05/2014,12/31/2038
T-176,107th/Halsted,2023,Current Obligations,ISW - Admin,-14300,03/05/2014,12/31/2038
T-176,107th/Halsted,2023,Current Obligations,Program Administration,-7000,03/05/2014,12/31/2038
T-176,107th/Halsted,2023,Revenue,Property tax,973300,03/05/2014,12/31/2038
T-176,107th/Halsted,2023,Current Obligations,RDA - Yellow Banana Grocery - Save-A-Lot - 10700 S Halsted St,-2265000,03/05/2014,12/31/2038
T-176,107th/Halsted,2023,Current Obligations,SBIF,-500000,03/05/2014,12/31/2038
T-176,107th/Halsted,2024,Transfers Between TIF Districts,From 119th/I-57 (Invest South West Program),1400000,03/05/2014,12/31/2038
T-176,107th/Halsted,2024,Current Obligations,Program Administration,-7200,03/05/2014,12/31/2038
T-176,107th/Halsted,2024,Revenue,Property tax,973300,03/05/2014,12/31/2038
T-176,107th/Halsted,2024,Proposed Projects,Proposed ISW Project(s),-1000000,03/05/2014,12/31/2038
T-176,107th/Halsted,2025,Transfers Between TIF Districts,From 119th/I-57 (Invest South West Program),1400000,03/05/2014,12/31/2038
T-176,107th/Halsted,2025,Current Obligations,Program Administration,-7400,03/05/2014,12/31/2038
T-176,107th/Halsted,2025,Revenue,Property tax,1057500,03/05/2014,12/31/2038
T-176,107th/Halsted,2025,Proposed Projects,Proposed ISW Project(s),-3277400,03/05/2014,12/31/2038
T-176,107th/Halsted,2026,Transfers Between TIF Districts,From 119th/I-57 (Invest South West Program),1000000,03/05/2014,12/31/2038
T-176,107th/Halsted,2026,Current Obligations,Program Administration,-7700,03/05/2014,12/31/2038
T-176,107th/Halsted,2026,Revenue,Property tax,1057500,03/05/2014,12/31/2038
T-176,107th/Halsted,2026,Proposed Projects,Proposed ISW Project(s),-3277400,03/05/2014,12/31/2038
T-176,107th/Halsted,2027,Current Obligations,Program Administration,-7900,03/05/2014,12/31/2038
T-176,107th/Halsted,2027,Revenue,Property tax,1057500,03/05/2014,12/31/2038
T-176,107th/Halsted,2027,Proposed Projects,Proposed ISW Project(s),-3277400,03/05/2014,12/31/2038
T-176,107th/Halsted,2028,Current Obligations,Program Administration,-8100,03/05/2014,12/31/2038
T-176,107th/Halsted,2028,Revenue,Property tax,1144100,03/05/2014,12/31/2038
T-176,107th/Halsted,2029,Current Obligations,Program Administration,-8400,03/05/2014,12/31/2038
T-176,107th/Halsted,2029,Revenue,Property tax,1144100,03/05/2014,12/31/2038
T-176,107th/Halsted,2030,Current Obligations,Program Administration,-8600,03/05/2014,12/31/2038
T-176,107th/Halsted,2030,Revenue,Property tax,1144100,03/05/2014,12/31/2038
T-176,107th/Halsted,2031,Current Obligations,Program Administration,-8900,03/05/2014,12/31/2038
T-176,107th/Halsted,2031,Revenue,Property tax,1233400,03/05/2014,12/31/2038
T-176,107th/Halsted,2032,Current Obligations,Program Administration,-9100,03/05/2014,12/31/2038
T-176,107th/Halsted,2032,Revenue,Property tax,1233400,03/05/2014,12/31/2038
T-176,107th/Halsted,2033,Current Obligations,Program Administration,-9400,03/05/2014,12/31/2038
T-176,107th/Halsted,2033,Revenue,Property tax,1233400,03/05/2014,12/31/2038
T-176,107th/Halsted,2034,Current Obligations,Program Administration,-9700,03/05/2014,12/31/2038
T-176,107th/Halsted,2034,Revenue,Property tax,1325300,03/05/2014,12/31/2038
T-176,107th/Halsted,2035,Current Obligations,Program Administration,-10000,03/05/2014,12/31/2038
T-176,107th/Halsted,2035,Revenue,Property tax,1325300,03/05/2014,12/31/2038
T-176,107th/Halsted,2036,Current Obligations,Program Administration,-10300,03/05/2014,12/31/2038
T-176,107th/Halsted,2036,Revenue,Property tax,1325300,03/05/2014,12/31/2038
T-176,107th/Halsted,2037,Current Obligations,Program Administration,-10600,03/05/2014,12/31/2038
T-176,107th/Halsted,2037,Revenue,Property tax,1420000,03/05/2014,12/31/2038
T-176,107th/Halsted,2038,Current Obligations,Program Administration,-10900,03/05/2014,12/31/2038
T-176,107th/Halsted,2038,Revenue,Property tax,1420000,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,CDOT - ADA Polling Place - Alex Haley Academy/Dunne Technology Academy,-92000,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,CDOT - Lighting - decorative pole replacement,-133500,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,DPD - Study - Roseland Community Medical District Plan - ISW - Corridor 12,-195100,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Fund Balance,FY 2021 Year End Available Fund Balance,3382400,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,ISW - Admin,-38700,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,SBIF,-944300,03/05/2014,12/31/2038
T-073,111th Street/Kedzie Avenue Business District,2022,Current Obligations,Program Administration,-14900,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Revenue,Property tax,1100400,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Revenue,Property Tax - 2022 - Collection Variance,-158900,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Current Obligations,RDA - Gendell Partners Mt Greenwood,-117000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Current Obligations,SSA 55,-14000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2023,Current Obligations,IGA - CPD - Mount Greenwood Park - Tennis Court Renovation,-75000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2023,Current Obligations,"IGA - CPS - Chicago Ag H.S. - Building Automation System (""BAS"")",-560000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2023,Current Obligations,Program Administration,-15400,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2023,Revenue,Property tax,1100400,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2023,Current Obligations,RDA - Gendell Partners Mt Greenwood,-257800,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2023,Current Obligations,SBIF,-500000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Current Obligations,AIS - CPL - Library - Mount Greenwood Library - 11010 S Kedzie Ave - Refresh/CARE,-100000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Current Obligations,AIS - Fire Station - Engine Co. 092 - 3112 W 111th St - MEP,-200000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Current Obligations,CDOT - ADA Polling Place - Mt Greewood Park/Mt Greenwood Library,-138000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Current Obligations,"CDOT - Streetscape - 111th, Homan to Sacramento - design",-112800,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Current Obligations,DPD - Professional services,-1900,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Fund Balance,FY 2021 Year End Available Fund Balance,2222900,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Current Obligations,SBIF,-637500,09/29/1999,12/31/2023
T-182,116th Ave O,2022,Current Obligations,Program Administration,-6500,10/31/2018,12/31/2042
T-182,116th Ave O,2022,Revenue,Property tax,671600,10/31/2018,12/31/2042
T-182,116th Ave O,2022,Revenue,Property Tax - 2022 - Collection Variance,13000,10/31/2018,12/31/2042
T-182,116th Ave O,2022,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-459600,10/31/2018,12/31/2042
T-182,116th Ave O,2023,Transfers Between TIF Districts,From Lake Calumet (RDA - North Point),5088000,10/31/2018,12/31/2042
T-182,116th Ave O,2023,Current Obligations,Program Administration,-3400,10/31/2018,12/31/2042
T-182,116th Ave O,2023,Revenue,Property tax,671600,10/31/2018,12/31/2042
T-121,47th/Halsted,2023,Current Obligations,NIF,-1000000,05/29/2002,12/31/2026
T-182,116th Ave O,2023,Current Obligations,RDA - North Point Business Park - Burley Ave Construction,-5088000,10/31/2018,12/31/2042
T-182,116th Ave O,2023,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-500000,10/31/2018,12/31/2042
T-182,116th Ave O,2024,Current Obligations,Program Administration,-3500,10/31/2018,12/31/2042
T-182,116th Ave O,2024,Revenue,Property tax,671600,10/31/2018,12/31/2042
T-182,116th Ave O,2024,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-650000,10/31/2018,12/31/2042
T-182,116th Ave O,2025,Current Obligations,Program Administration,-3600,10/31/2018,12/31/2042
T-182,116th Ave O,2025,Revenue,Property tax,697800,10/31/2018,12/31/2042
T-182,116th Ave O,2025,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-675000,10/31/2018,12/31/2042
T-182,116th Ave O,2026,Current Obligations,Program Administration,-3700,10/31/2018,12/31/2042
T-182,116th Ave O,2026,Revenue,Property tax,697800,10/31/2018,12/31/2042
T-182,116th Ave O,2026,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-675000,10/31/2018,12/31/2042
T-182,116th Ave O,2027,Current Obligations,Program Administration,-3800,10/31/2018,12/31/2042
T-182,116th Ave O,2027,Revenue,Property tax,697800,10/31/2018,12/31/2042
T-182,116th Ave O,2027,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-675000,10/31/2018,12/31/2042
T-182,116th Ave O,2028,Current Obligations,Program Administration,-3900,10/31/2018,12/31/2042
T-182,116th Ave O,2028,Revenue,Property tax,724800,10/31/2018,12/31/2042
T-182,116th Ave O,2028,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-700000,10/31/2018,12/31/2042
T-182,116th Ave O,2029,Current Obligations,Program Administration,-4000,10/31/2018,12/31/2042
T-182,116th Ave O,2029,Revenue,Property tax,724800,10/31/2018,12/31/2042
T-182,116th Ave O,2029,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-700000,10/31/2018,12/31/2042
T-182,116th Ave O,2030,Current Obligations,Program Administration,-4100,10/31/2018,12/31/2042
T-182,116th Ave O,2030,Revenue,Property tax,724800,10/31/2018,12/31/2042
T-182,116th Ave O,2030,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-700000,10/31/2018,12/31/2042
T-182,116th Ave O,2031,Current Obligations,Program Administration,-4300,10/31/2018,12/31/2042
T-182,116th Ave O,2031,Revenue,Property tax,752700,10/31/2018,12/31/2042
T-182,116th Ave O,2031,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-725000,10/31/2018,12/31/2042
T-182,116th Ave O,2032,Current Obligations,Program Administration,-4400,10/31/2018,12/31/2042
T-182,116th Ave O,2032,Revenue,Property tax,752700,10/31/2018,12/31/2042
T-182,116th Ave O,2032,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-725000,10/31/2018,12/31/2042
T-182,116th Ave O,2033,Current Obligations,Program Administration,-4500,10/31/2018,12/31/2042
T-182,116th Ave O,2033,Revenue,Property tax,752700,10/31/2018,12/31/2042
T-182,116th Ave O,2033,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-725000,10/31/2018,12/31/2042
T-182,116th Ave O,2034,Current Obligations,Program Administration,-4700,10/31/2018,12/31/2042
T-182,116th Ave O,2034,Revenue,Property tax,781300,10/31/2018,12/31/2042
T-182,116th Ave O,2034,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-750000,10/31/2018,12/31/2042
T-182,116th Ave O,2035,Current Obligations,Program Administration,-4800,10/31/2018,12/31/2042
T-182,116th Ave O,2035,Revenue,Property tax,781300,10/31/2018,12/31/2042
T-182,116th Ave O,2035,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-750000,10/31/2018,12/31/2042
T-182,116th Ave O,2036,Current Obligations,Program Administration,-5000,10/31/2018,12/31/2042
T-182,116th Ave O,2036,Revenue,Property tax,781300,10/31/2018,12/31/2042
T-182,116th Ave O,2036,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-750000,10/31/2018,12/31/2042
T-182,116th Ave O,2037,Current Obligations,Program Administration,-5100,10/31/2018,12/31/2042
T-182,116th Ave O,2037,Revenue,Property tax,810800,10/31/2018,12/31/2042
T-182,116th Ave O,2037,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-775000,10/31/2018,12/31/2042
T-182,116th Ave O,2038,Current Obligations,Program Administration,-5300,10/31/2018,12/31/2042
T-182,116th Ave O,2038,Revenue,Property tax,810800,10/31/2018,12/31/2042
T-182,116th Ave O,2038,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-775000,10/31/2018,12/31/2042
T-182,116th Ave O,2039,Current Obligations,Program Administration,-5400,10/31/2018,12/31/2042
T-182,116th Ave O,2039,Revenue,Property tax,810800,10/31/2018,12/31/2042
T-182,116th Ave O,2039,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-775000,10/31/2018,12/31/2042
T-182,116th Ave O,2040,Current Obligations,Program Administration,-5600,10/31/2018,12/31/2042
T-182,116th Ave O,2040,Revenue,Property tax,841200,10/31/2018,12/31/2042
T-133,83rd/Stewart,2022,Revenue,Property tax,1358700,03/31/2004,12/31/2028
T-182,116th Ave O,2040,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-800000,10/31/2018,12/31/2042
T-182,116th Ave O,2041,Current Obligations,Program Administration,-5700,10/31/2018,12/31/2042
T-182,116th Ave O,2041,Revenue,Property tax,841200,10/31/2018,12/31/2042
T-182,116th Ave O,2041,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-800000,10/31/2018,12/31/2042
T-182,116th Ave O,2042,Current Obligations,Program Administration,-5900,10/31/2018,12/31/2042
T-182,116th Ave O,2042,Revenue,Property tax,841200,10/31/2018,12/31/2042
T-182,116th Ave O,2042,Current Obligations,RDA - North Point Business Park ($42.4mm In-PIN),-800000,10/31/2018,12/31/2042
T-182,116th Ave O,Fund / Project Balances,Current Obligations,CDOT - ADA Polling Place - Rowan Park,-10100,10/31/2018,12/31/2042
T-182,116th Ave O,Fund / Project Balances,Current Obligations,DPD - Study - Lake Calumet Industrial Area - Industrial Use Study,-23200,10/31/2018,12/31/2042
T-114,119th and Halsted,2022,Current Obligations,Program Administration,-15000,02/06/2002,12/31/2026
T-114,119th and Halsted,2022,Revenue,Property tax,856800,02/06/2002,12/31/2026
T-114,119th and Halsted,2022,Revenue,Property Tax - 2022 - Collection Variance,-17900,02/06/2002,12/31/2026
T-114,119th and Halsted,2022,Transfers Between TIF Districts,To Roseland/Michigan (Invest South West Program),-1000000,02/06/2002,12/31/2026
T-114,119th and Halsted,2023,Proposed Projects,AIS - Fuel Facility - 10420 S Vincennes,-500000,02/06/2002,12/31/2026
T-114,119th and Halsted,2023,Proposed Projects,CDOT - Bike Lanes - Protected - 2023,-79000,02/06/2002,12/31/2026
T-114,119th and Halsted,2023,Current Obligations,"IGA - CPD - Park 0225 - West Pullman Park - Cultural Center - Major Rehab - Roof, Masonry, Parapet Walls ($1.4mm)",-1400000,02/06/2002,12/31/2026
T-114,119th and Halsted,2023,Current Obligations,Program Administration,-15400,02/06/2002,12/31/2026
T-114,119th and Halsted,2023,Revenue,Property tax,856800,02/06/2002,12/31/2026
T-114,119th and Halsted,2023,Current Obligations,SBIF,-500000,02/06/2002,12/31/2026
T-114,119th and Halsted,2023,Transfers Between TIF Districts,To Roseland/Michigan (Invest South West Program),-2333400,02/06/2002,12/31/2026
T-114,119th and Halsted,2024,Current Obligations,Program Administration,-15900,02/06/2002,12/31/2026
T-114,119th and Halsted,2024,Revenue,Property tax,856800,02/06/2002,12/31/2026
T-114,119th and Halsted,2024,Transfers Between TIF Districts,To Roseland/Michigan (Invest South West Program),-1166700,02/06/2002,12/31/2026
T-114,119th and Halsted,2025,Current Obligations,Program Administration,-16400,02/06/2002,12/31/2026
T-114,119th and Halsted,2025,Revenue,Property tax,921200,02/06/2002,12/31/2026
T-114,119th and Halsted,2026,Current Obligations,Program Administration,-16800,02/06/2002,12/31/2026
T-114,119th and Halsted,2026,Revenue,Property tax,921200,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,CDOT - ADA Polling Place - Metcalfe School,-109700,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,CDOT - Residential St Resurfacing - Ward 34,-44100,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Fund Balance,FY 2021 Year End Available Fund Balance,6254000,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,NIF,-434500,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,SBIF,-567300,02/06/2002,12/31/2026
T-125,119th/I-57,2022,Current Obligations,AIS - IEPA UST Incident Closure,-25000,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Current Obligations,Program Administration,-38000,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Revenue,Property tax,2717300,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Revenue,Property Tax - 2022 - Collection Variance,-132300,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Proposed Projects,CDOT - Bike Lanes - Protected - 2023,-573000,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Current Obligations,CDOT - Traffic studies,100,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Current Obligations,IGA - CPS - Shoop E.S. - 11140 S Bishop St - Chimey Stack Reduction,-750000,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Current Obligations,NIF,-500000,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Current Obligations,Program Administration,-39200,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Revenue,Property tax,2717300,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Current Obligations,RDA - Marshfield Plaza,-1975800,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Current Obligations,RDA - Renaissance Estates PayGo,-1750000,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Transfers Between TIF Districts,To 107th/Halsted (Invest South West Program),-1400000,11/06/2002,12/31/2026
T-125,119th/I-57,2024,Current Obligations,Program Administration,-40400,11/06/2002,12/31/2026
T-125,119th/I-57,2024,Revenue,Property tax,2717300,11/06/2002,12/31/2026
T-125,119th/I-57,2024,Current Obligations,RDA - Marshfield Plaza,-2015300,11/06/2002,12/31/2026
T-125,119th/I-57,2024,Current Obligations,RDA - Renaissance Estates PayGo,-250000,11/06/2002,12/31/2026
T-125,119th/I-57,2024,Transfers Between TIF Districts,To 107th/Halsted (Invest South West Program),-1400000,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Current Obligations,Program Administration,-41600,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Revenue,Property tax,2829400,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Current Obligations,RDA - Marshfield Plaza,-2055600,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Current Obligations,RDA - Renaissance Estates PayGo,-250000,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Transfers Between TIF Districts,To 107th/Halsted (Invest South West Program),-1400000,11/06/2002,12/31/2026
T-125,119th/I-57,2026,Current Obligations,Program Administration,-42800,11/06/2002,12/31/2026
T-125,119th/I-57,2026,Revenue,Property tax,2829400,11/06/2002,12/31/2026
T-125,119th/I-57,2026,Current Obligations,RDA - Marshfield Plaza,-3273000,11/06/2002,12/31/2026
T-125,119th/I-57,2026,Current Obligations,RDA - Renaissance Estates PayGo,-500000,11/06/2002,12/31/2026
T-125,119th/I-57,2026,Transfers Between TIF Districts,To 107th/Halsted (Invest South West Program),-1000000,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,CDOT - ADA Polling Place - Ada Park/Shoop School/White Park/Higgins School,-282100,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,CDOT - Lighting - Neighborhood Lighting Improvements,-812000,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,CDOT - Residential St Resurfacing - Ward 34,-66000,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Fund Balance,FY 2021 Year End Available Fund Balance,9669600,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,NIF,-124900,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,RDA - Marshfield Plaza,-1796200,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,SBIF,-693800,11/06/2002,12/31/2026
T-072,24th/Michigan,2022,Current Obligations,CHA Transformation - RDA - Southbridge/Ickes - 2310 S State - Phase 1A,-3187500,07/21/1999,12/31/2035
T-072,24th/Michigan,2022,Current Obligations,CHA Transformation - RDA - Southbridge/Ickes - 2350 S State - Phase 1B,-1062500,07/21/1999,12/31/2035
T-072,24th/Michigan,2022,Current Obligations,DPD - Study - Chicago Central City Framework Plan,-29800,07/21/1999,12/31/2035
T-072,24th/Michigan,2022,Current Obligations,DPD - Study - TIF Major Amendment - 12-Year Extension,-300000,07/21/1999,12/31/2035
T-072,24th/Michigan,2022,Current Obligations,Program Administration,-73200,07/21/1999,12/31/2035
T-072,24th/Michigan,2022,Revenue,Property tax,5814400,07/21/1999,12/31/2035
T-072,24th/Michigan,2022,Revenue,Property Tax - 2022 - Collection Variance,-1568300,07/21/1999,12/31/2035
T-072,24th/Michigan,2022,Current Obligations,SBIF,-500000,07/21/1999,12/31/2035
T-072,24th/Michigan,2023,Current Obligations,CHA Transformation - RDA - Southbridge/Ickes - 2350 S State - Phase 1B,-1062500,07/21/1999,12/31/2035
T-072,24th/Michigan,2023,Current Obligations,DPD - Acquisition - 2240 S Wabash Ave,-8000000,07/21/1999,12/31/2035
T-072,24th/Michigan,2023,Current Obligations,IGA - CPS - National Teachers Academy - athletic field,483100,07/21/1999,12/31/2035
T-072,24th/Michigan,2023,Current Obligations,Program Administration,-75400,07/21/1999,12/31/2035
T-072,24th/Michigan,2023,Revenue,Property tax,5814400,07/21/1999,12/31/2035
T-072,24th/Michigan,2023,Current Obligations,RDA - Hilliard Homes-I,-750000,07/21/1999,12/31/2035
T-072,24th/Michigan,2023,Current Obligations,RDA - Hilliard Homes-II,-1540000,07/21/1999,12/31/2035
T-072,24th/Michigan,2023,Transfers Between TIF Districts,To Michigan/Cermak (RDA - 2222 S Michigan - Rehab),-3750000,07/21/1999,12/31/2035
T-072,24th/Michigan,2024,Proposed Projects,CHA Transformation Residential Project,-5333400,07/21/1999,12/31/2035
T-072,24th/Michigan,2024,Current Obligations,Program Administration,-77600,07/21/1999,12/31/2035
T-072,24th/Michigan,2024,Revenue,Property tax,5814400,07/21/1999,12/31/2035
T-072,24th/Michigan,2025,Proposed Projects,CHA Transformation Residential Project,-2666700,07/21/1999,12/31/2035
T-072,24th/Michigan,2025,Transfers Between TIF Districts,From Michigan/Cermak (RDA - 2222 S Michigan - Rehab),3750000,07/21/1999,12/31/2035
T-072,24th/Michigan,2025,Current Obligations,Program Administration,-80000,07/21/1999,12/31/2035
T-072,24th/Michigan,2025,Revenue,Property tax,6019200,07/21/1999,12/31/2035
T-072,24th/Michigan,2026,Current Obligations,Program Administration,-82400,07/21/1999,12/31/2035
T-072,24th/Michigan,2026,Revenue,Property tax,6019200,07/21/1999,12/31/2035
T-072,24th/Michigan,2027,Current Obligations,Program Administration,-84800,07/21/1999,12/31/2035
T-072,24th/Michigan,2027,Revenue,Property tax,6019200,07/21/1999,12/31/2035
T-072,24th/Michigan,2028,Current Obligations,Program Administration,-87400,07/21/1999,12/31/2035
T-072,24th/Michigan,2028,Revenue,Property tax,6230100,07/21/1999,12/31/2035
T-072,24th/Michigan,2029,Current Obligations,Program Administration,-90000,07/21/1999,12/31/2035
T-072,24th/Michigan,2029,Revenue,Property tax,6230100,07/21/1999,12/31/2035
T-072,24th/Michigan,2030,Current Obligations,Program Administration,-92700,07/21/1999,12/31/2035
T-072,24th/Michigan,2030,Revenue,Property tax,6230100,07/21/1999,12/31/2035
T-072,24th/Michigan,2031,Current Obligations,Program Administration,-95500,07/21/1999,12/31/2035
T-072,24th/Michigan,2031,Revenue,Property tax,6447400,07/21/1999,12/31/2035
T-072,24th/Michigan,2032,Current Obligations,Program Administration,-98300,07/21/1999,12/31/2035
T-072,24th/Michigan,2032,Revenue,Property tax,6447400,07/21/1999,12/31/2035
T-072,24th/Michigan,2033,Current Obligations,Program Administration,-101300,07/21/1999,12/31/2035
T-072,24th/Michigan,2033,Revenue,Property tax,6447400,07/21/1999,12/31/2035
T-072,24th/Michigan,2034,Current Obligations,Program Administration,-104300,07/21/1999,12/31/2035
T-072,24th/Michigan,2034,Revenue,Property tax,6671200,07/21/1999,12/31/2035
