TIF Number,TIF Name,Tme Period,Type,Description,Amount,Designation Date,Expiration Date
T-176,107th/Halsted,2031,Current Obligations,Program Administration,-8900,03/05/2014,12/31/2038
T-176,107th/Halsted,2031,Revenue,Property tax,894100,03/05/2014,12/31/2038
T-176,107th/Halsted,2032,Current Obligations,Program Administration,-9100,03/05/2014,12/31/2038
T-176,107th/Halsted,2032,Revenue,Property tax,894100,03/05/2014,12/31/2038
T-176,107th/Halsted,2033,Current Obligations,Program Administration,-9400,03/05/2014,12/31/2038
T-176,107th/Halsted,2033,Revenue,Property tax,894100,03/05/2014,12/31/2038
T-176,107th/Halsted,2034,Current Obligations,Program Administration,-9700,03/05/2014,12/31/2038
T-176,107th/Halsted,2034,Revenue,Property tax,977000,03/05/2014,12/31/2038
T-176,107th/Halsted,2035,Current Obligations,Program Administration,-10000,03/05/2014,12/31/2038
T-176,107th/Halsted,2035,Revenue,Property tax,977000,03/05/2014,12/31/2038
T-176,107th/Halsted,2036,Current Obligations,Program Administration,-10300,03/05/2014,12/31/2038
T-176,107th/Halsted,2036,Revenue,Property tax,977000,03/05/2014,12/31/2038
T-176,107th/Halsted,2037,Current Obligations,Program Administration,-10600,03/05/2014,12/31/2038
T-176,107th/Halsted,2037,Revenue,Property tax,1142500,03/05/2014,12/31/2038
T-176,107th/Halsted,2038,Current Obligations,Program Administration,-10900,03/05/2014,12/31/2038
T-176,107th/Halsted,2038,Revenue,Property tax,1142500,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,CDOT - Lighting - decorative pole replacement,-300000,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,CDOT - Sidewalk/curb/gutter repairs - ISW - Corridor 12,-9600,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,DPD - Study - Roseland Community Medical District Plan - ISW - Corridor 12,-225000,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Fund Balance,FY 2020 Year End Available Fund Balance,3132500,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,ISW - Admin,-43600,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,Lighting - arterial - West Pullman,-60000,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,Retail Thrive Zone,-24600,03/05/2014,12/31/2038
T-176,107th/Halsted,Fund / Project Balances,Current Obligations,SBIF,-953700,03/05/2014,12/31/2038
T-182,116th Ave O,2027,Current Obligations,Program Administration,-3800,10/31/2018,12/31/2042
T-073,111th Street/Kedzie Avenue Business District,2021,Current Obligations,AIS - CPL - Library - Mount Greenwood Library - 11010 S Kedzie Ave - Refresh/CARE,-100000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2021,Current Obligations,AIS - Fire Station - Engine Co. 092 - 3112 W 111th St - MEP,-200000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2021,Current Obligations,CDOT - ADA Polling Place - Mt Greewood Park/Mt Greenwood Library,-138000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2021,Current Obligations,"CDOT - Streetscape - 111th, Central Park to Homan",14000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2021,Current Obligations,Program Administration,-14500,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2021,Revenue,Property tax,939200,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2021,Revenue,Property Tax - 2021 - 7.5% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-70400,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2021,Current Obligations,RDA - Gendell Partners Mt Greenwood,-121700,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2021,Current Obligations,SBIF,-500000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2021,Current Obligations,SSA 55,-14000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Proposed Projects,ADA Polling Place,-250300,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Current Obligations,"IGA - CPS - Chicago Ag H.S. - Building Automation System (""BAS"")",-560000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Current Obligations,Program Administration,-14900,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Revenue,Property tax,996500,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Revenue,Property Tax - 2022 - 5.0% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-49800,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Current Obligations,RDA - Gendell Partners Mt Greenwood,-127600,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2022,Current Obligations,SSA 55,-14000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2023,Current Obligations,Program Administration,-15400,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2023,Revenue,Property tax,996500,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2023,Proposed Projects,Proposed Park Project #1,-75000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2023,Current Obligations,RDA - Gendell Partners Mt Greenwood,-257800,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Current Obligations,"CDOT - Streetscape - 111th, Central Park to Homan",-14000,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Current Obligations,"CDOT - Streetscape - 111th, Homan to Sacramento - design",-636400,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Fund Balance,FY 2020 Year End Available Fund Balance,1716400,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Current Obligations,Professional Services - 24th Year Extension,-1900,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,Fund / Project Balances,Current Obligations,SBIF,-142500,09/29/1999,12/31/2023
T-182,116th Ave O,2021,Current Obligations,CDOT - Rowan Park - ADA Polling Place,-10100,10/31/2018,12/31/2042
T-182,116th Ave O,2021,Transfers Between TIF Districts,From Lake Calumet (RDA - North Point),4512000,10/31/2018,12/31/2042
T-182,116th Ave O,2021,Current Obligations,Lake Calumet Industrial Area - Industrial Use Study,-23200,10/31/2018,12/31/2042
T-182,116th Ave O,2021,Revenue,Property tax,574800,10/31/2018,12/31/2042
T-182,116th Ave O,2021,Revenue,Property Tax - 2021 - 7.5% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-43100,10/31/2018,12/31/2042
T-182,116th Ave O,2021,Current Obligations,RDA - North Point Business Park - Burley Ave Construction,-4512000,10/31/2018,12/31/2042
T-182,116th Ave O,2022,Proposed Projects,ADA Polling Place,-10100,10/31/2018,12/31/2042
T-182,116th Ave O,2022,Transfers Between TIF Districts,From Lake Calumet (RDA - North Point),5088000,10/31/2018,12/31/2042
T-182,116th Ave O,2022,Current Obligations,Program Administration,-6500,10/31/2018,12/31/2042
T-182,116th Ave O,2022,Revenue,Property tax,598300,10/31/2018,12/31/2042
T-182,116th Ave O,2022,Revenue,Property Tax - 2022 - 5.0% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-29900,10/31/2018,12/31/2042
T-182,116th Ave O,2022,Current Obligations,RDA - North Point Business Park - Burley Ave Construction,-5088000,10/31/2018,12/31/2042
T-182,116th Ave O,2023,Current Obligations,Program Administration,-3400,10/31/2018,12/31/2042
T-182,116th Ave O,2023,Revenue,Property tax,598300,10/31/2018,12/31/2042
T-182,116th Ave O,2024,Current Obligations,Program Administration,-3500,10/31/2018,12/31/2042
T-182,116th Ave O,2024,Revenue,Property tax,598300,10/31/2018,12/31/2042
T-182,116th Ave O,2025,Current Obligations,Program Administration,-3600,10/31/2018,12/31/2042
T-182,116th Ave O,2028,Current Obligations,Program Administration,-3900,10/31/2018,12/31/2042
T-182,116th Ave O,2028,Revenue,Property tax,647500,10/31/2018,12/31/2042
T-182,116th Ave O,2029,Current Obligations,Program Administration,-4000,10/31/2018,12/31/2042
T-182,116th Ave O,2029,Revenue,Property tax,647500,10/31/2018,12/31/2042
T-182,116th Ave O,2030,Current Obligations,Program Administration,-4100,10/31/2018,12/31/2042
T-182,116th Ave O,2030,Revenue,Property tax,647500,10/31/2018,12/31/2042
T-182,116th Ave O,2031,Current Obligations,Program Administration,-4300,10/31/2018,12/31/2042
T-182,116th Ave O,2031,Revenue,Property tax,673200,10/31/2018,12/31/2042
T-182,116th Ave O,2032,Current Obligations,Program Administration,-4400,10/31/2018,12/31/2042
T-182,116th Ave O,2032,Revenue,Property tax,673200,10/31/2018,12/31/2042
T-182,116th Ave O,2033,Current Obligations,Program Administration,-4500,10/31/2018,12/31/2042
T-182,116th Ave O,2033,Revenue,Property tax,673200,10/31/2018,12/31/2042
T-182,116th Ave O,2034,Current Obligations,Program Administration,-4700,10/31/2018,12/31/2042
T-182,116th Ave O,2034,Revenue,Property tax,699600,10/31/2018,12/31/2042
T-182,116th Ave O,2035,Current Obligations,Program Administration,-4800,10/31/2018,12/31/2042
T-182,116th Ave O,2035,Revenue,Property tax,699600,10/31/2018,12/31/2042
T-182,116th Ave O,2036,Current Obligations,Program Administration,-5000,10/31/2018,12/31/2042
T-182,116th Ave O,2036,Revenue,Property tax,699600,10/31/2018,12/31/2042
T-182,116th Ave O,2037,Current Obligations,Program Administration,-5100,10/31/2018,12/31/2042
T-182,116th Ave O,2037,Revenue,Property tax,726900,10/31/2018,12/31/2042
T-182,116th Ave O,2038,Current Obligations,Program Administration,-5300,10/31/2018,12/31/2042
T-182,116th Ave O,2038,Revenue,Property tax,726900,10/31/2018,12/31/2042
T-182,116th Ave O,2039,Current Obligations,Program Administration,-5400,10/31/2018,12/31/2042
T-182,116th Ave O,2039,Revenue,Property tax,726900,10/31/2018,12/31/2042
T-182,116th Ave O,2040,Current Obligations,Program Administration,-5600,10/31/2018,12/31/2042
T-182,116th Ave O,2040,Revenue,Property tax,755000,10/31/2018,12/31/2042
T-182,116th Ave O,2041,Current Obligations,Program Administration,-5700,10/31/2018,12/31/2042
T-182,116th Ave O,2041,Revenue,Property tax,755000,10/31/2018,12/31/2042
T-182,116th Ave O,2042,Current Obligations,Program Administration,-5900,10/31/2018,12/31/2042
T-182,116th Ave O,2042,Revenue,Property tax,755000,10/31/2018,12/31/2042
T-182,116th Ave O,Fund / Project Balances,Fund Balance,FY 2020 Year End Available Fund Balance,24400,10/31/2018,12/31/2042
T-114,119th and Halsted,2021,Current Obligations,CDOT - Metcalfe School - ADA Polling Place,-109700,02/06/2002,12/31/2026
T-114,119th and Halsted,2021,Current Obligations,Lighting - arterial - West Pullman,57000,02/06/2002,12/31/2026
T-114,119th and Halsted,2021,Current Obligations,Program Administration,-14500,02/06/2002,12/31/2026
T-114,119th and Halsted,2021,Revenue,Property tax,981800,02/06/2002,12/31/2026
T-114,119th and Halsted,2021,Revenue,Property Tax - 2021 - 7.5% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-73600,02/06/2002,12/31/2026
T-114,119th and Halsted,2021,Current Obligations,Residential St Resurfacing - Ward 34,49000,02/06/2002,12/31/2026
T-114,119th and Halsted,2021,Current Obligations,Retail Thrive Zone,17200,02/06/2002,12/31/2026
T-114,119th and Halsted,2022,Proposed Projects,ADA Polling Place,-172800,02/06/2002,12/31/2026
T-114,119th and Halsted,2022,Current Obligations,"IGA - CPD - Park 0225 - West Pullman Park - Cultural Center - Major Rehab - Roof, Masonry, Parapet Walls ($1.4mm)",-1400000,02/06/2002,12/31/2026
T-114,119th and Halsted,2022,Current Obligations,Program Administration,-15000,02/06/2002,12/31/2026
T-114,119th and Halsted,2022,Revenue,Property tax,1130300,02/06/2002,12/31/2026
T-114,119th and Halsted,2022,Revenue,Property Tax - 2022 - 5.0% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-56500,02/06/2002,12/31/2026
T-114,119th and Halsted,2022,Transfers Between TIF Districts,To Roseland/Michigan (Invest South West Program),-1979600,02/06/2002,12/31/2026
T-114,119th and Halsted,2023,Current Obligations,Program Administration,-15400,02/06/2002,12/31/2026
T-114,119th and Halsted,2023,Revenue,Property tax,1130300,02/06/2002,12/31/2026
T-114,119th and Halsted,2023,Transfers Between TIF Districts,To Roseland/Michigan (Invest South West Program),-2520400,02/06/2002,12/31/2026
T-114,119th and Halsted,2024,Current Obligations,Program Administration,-15900,02/06/2002,12/31/2026
T-114,119th and Halsted,2024,Revenue,Property tax,1130300,02/06/2002,12/31/2026
T-114,119th and Halsted,2025,Current Obligations,Program Administration,-16400,02/06/2002,12/31/2026
T-114,119th and Halsted,2025,Revenue,Property tax,1283100,02/06/2002,12/31/2026
T-114,119th and Halsted,2026,Current Obligations,Program Administration,-16800,02/06/2002,12/31/2026
T-114,119th and Halsted,2026,Revenue,Property tax,1283100,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Fund Balance,FY 2020 Year End Available Fund Balance,5394200,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,Lighting - arterial - West Pullman,-57000,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,NIF,-434500,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,Residential St Resurfacing - Ward 34,-45000,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,Retail Thrive Zone,-17200,02/06/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,SBIF,-623100,02/06/2002,12/31/2026
T-125,119th/I-57,2021,Current Obligations,CDOT - ADA Polling Place - Ada Park/Shoop School/White Park/Higgins School,-282100,11/06/2002,12/31/2026
T-125,119th/I-57,2021,Current Obligations,Lighting - Arterial - West Pullman,17900,11/06/2002,12/31/2026
T-125,119th/I-57,2021,Current Obligations,Program Administration,-36900,11/06/2002,12/31/2026
T-125,119th/I-57,2021,Revenue,Property tax,2747900,11/06/2002,12/31/2026
T-125,119th/I-57,2021,Revenue,Property Tax - 2021 - 7.5% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-206100,11/06/2002,12/31/2026
T-125,119th/I-57,2021,Current Obligations,Traffic studies,100,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Proposed Projects,ADA Polling Place,-210300,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Current Obligations,IGA - CPS - Shoop E.S. - 11140 S Bishop St - Chimey Stack Reduction,-750000,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Current Obligations,NIF,-500000,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Current Obligations,Program Administration,-38000,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Revenue,Property tax,2861800,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Revenue,Property Tax - 2022 - 5.0% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-143100,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Current Obligations,RDA - Marshfield Plaza,-1884500,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Current Obligations,RDA - Renaissance Estates PayGo,-1500000,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Current Obligations,TIF Works,-75000,11/06/2002,12/31/2026
T-125,119th/I-57,2022,Transfers Between TIF Districts,To 107th/Halsted (Invest South West Program),-780000,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Current Obligations,Program Administration,-39200,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Revenue,Property tax,2861800,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Current Obligations,RDA - Marshfield Plaza,-1922200,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Current Obligations,RDA - Renaissance Estates PayGo,-250000,11/06/2002,12/31/2026
T-125,119th/I-57,2023,Transfers Between TIF Districts,To 107th/Halsted (Invest South West Program),-1560000,11/06/2002,12/31/2026
T-125,119th/I-57,2024,Current Obligations,Program Administration,-40400,11/06/2002,12/31/2026
T-125,119th/I-57,2024,Revenue,Property tax,2861800,11/06/2002,12/31/2026
T-125,119th/I-57,2024,Current Obligations,RDA - Marshfield Plaza,-1960600,11/06/2002,12/31/2026
T-125,119th/I-57,2024,Current Obligations,RDA - Renaissance Estates PayGo,-250000,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Current Obligations,Program Administration,-41600,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Revenue,Property tax,3038500,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Current Obligations,RDA - Marshfield Plaza,-1999800,11/06/2002,12/31/2026
T-125,119th/I-57,2025,Current Obligations,RDA - Renaissance Estates PayGo,-250000,11/06/2002,12/31/2026
T-125,119th/I-57,2026,Current Obligations,Program Administration,-42800,11/06/2002,12/31/2026
T-125,119th/I-57,2026,Revenue,Property tax,3038500,11/06/2002,12/31/2026
T-125,119th/I-57,2026,Current Obligations,RDA - Marshfield Plaza,-3184100,11/06/2002,12/31/2026
T-125,119th/I-57,2026,Current Obligations,RDA - Renaissance Estates PayGo,-2205000,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Fund Balance,FY 2020 Year End Available Fund Balance,8849500,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,Lighting - Arterial - West Pullman,-17900,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-812000,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,NIF,-124900,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,RDA - Marshfield Plaza,-1847500,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,Residential St Resurfacing - Ward 34,-144600,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,SBIF,-699800,11/06/2002,12/31/2026
T-125,119th/I-57,Fund / Project Balances,Current Obligations,Traffic studies,-100,11/06/2002,12/31/2026
T-072,24th/Michigan,2021,Current Obligations,AIS - CPL - Library - Chinatown Library - 2100 S Wentworth Ave,-2000000,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Current Obligations,AIS - DSS - Salt Dome - 2200 S Federal St - lighting/mechanical/entrances,-1000000,07/21/1999,12/31/2023
T-141,26th and King Drive,2022,Proposed Projects,OBM - Hold,-4500000,01/11/2006,12/31/2030
T-072,24th/Michigan,2021,Current Obligations,AIS - Environmental Assessment - Near South H.S. Site - 2400 S State/Dearborn,-350000,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Current Obligations,CDOT - Infrastructure Improvements - 2200-2400 S Indiana Ave,-250000,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Current Obligations,CHA Transformation - RDA - Southbridge/Ickes - 2310 S State - Phase 1A,-6375000,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Current Obligations,CHA Transformation - RDA - Southbridge/Ickes - 2350 S State - Phase 1B,-1062500,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Current Obligations,DPD - TIF Plan Amendment - 24th Michigan TIF,249600,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Current Obligations,IGA - CPS - National Teachers Academy - athletic field,483100,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Current Obligations,Pre-acquisition costs,43500,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Current Obligations,Program Administration,-71000,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Revenue,Property tax,5108600,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Revenue,Property Tax - 2021 - 7.5% Reserve For COVID-19 Tax Revenue Uncertainty - Tax Amounts/Collection Loss/Appeals/Refunds,-383100,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Fund Balance,Surplus TIF Funds - 2021,-10564000,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Current Obligations,TIF Works,136600,07/21/1999,12/31/2023
T-072,24th/Michigan,2021,Current Obligations,Wells Wentworth Connector,162800,07/21/1999,12/31/2023
T-072,24th/Michigan,2022,Current Obligations,CHA Transformation - RDA - Southbridge/Ickes - 2310 S State - Phase 1A,-3187500,07/21/1999,12/31/2023
T-072,24th/Michigan,2022,Current Obligations,CHA Transformation - RDA - Southbridge/Ickes - 2350 S State - Phase 1B,-2125000,07/21/1999,12/31/2023
