TIF Number,TIF Name,Tme Period,Type,Description,Amount,Designation Date,Expiration Date
T-001,35th/Halsted,2021,Current Obligations,"Resurfacing - Benson, 38th Pl to 37th Pl",256900,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,SBIF,-1500000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,Signage for Stockyards area truck route,88700,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,Soutwest Industrial Corridors - Transportation/Distribution/Logistics Uses Study,-18300,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Current Obligations,"Streetscape - Morgan, 31st to 35th",714000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Proposed Projects,AIS - Building renovation - 1869 W Pershing - Phase 2,-2000000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Proposed Projects,AIS - Police Station - District 09 - 3120 S Halsted Ave - MEP,-630000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Proposed Projects,CDOT - In-House Construction (IHC) - 1501 W Pershing - Interior & exterior renovations,-890000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Revenue,Property tax,11025500,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-1723900,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Transfers Between TIF Districts,To Archer/Western (CTA - Orange Line - 35th/Archer Station),-1262100,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Transfers Between TIF Districts,To Archer/Western (McKinley Park),-400000,01/14/1997,12/31/2021
T-001,35th/Halsted,2021,Transfers Between TIF Districts,To Archer/Western (Park - Bosley Park),-1369400,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,"Arterial resurfacing - 35th, Ashland to Racine",-84900,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Bridge - 35th/S Fork Chicago River - repairs,-504300,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Bridge - Structural Rehab - 1200 W 35th St - additional funding,-53300,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Building rehab - Pershing Tower,-1140400,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Building renovation - 1869 W Pershing - Phase 1,-10596900,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Building repairs - Pershing Warehouse,-2391800,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,DSS - Ward Yard - Improvements,-25000,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Environmental remediation,-6200,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Industrial street improvements - 37th & Racine,-5400,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-2000000,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Planned Manufacturing District study,-3600,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,RDA - Acre Development,-285400,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,"Resurfacing - Benson, 38th Pl to 37th Pl",-256900,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,SBIF,-376400,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Signage for Stockyards area truck route,-88700,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,"Streetscape - Morgan, 31st to 35th",-713900,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,TIF Works,-324800,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Traffic Signal - modernization - 37th Halsted,-442000,01/14/1997,12/31/2021
T-001,35th/Halsted,Fund / Project Balances,Fund Balance,FY 2019 Year End Available Fund Balance,33977200,01/14/1997,12/31/2021
T-004,49th Street/St. Lawrence Avenue,2020,Current Obligations,CDOT - Street Resurfacing/ADA Ramps,-300000,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2020,Current Obligations,Program administration,-9900,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2020,Current Obligations,RDA - Willard Square,-339000,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2020,Fund Balance,Surplus TIF Funds - 2020,-91000,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2020,Revenue,Property tax,601800,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,2020,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-36100,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-46500,01/10/1996,12/31/2020
T-004,49th Street/St. Lawrence Avenue,Fund / Project Balances,Fund Balance,FY 2019 Year End Available Fund Balance,1790700,01/10/1996,12/31/2020
T-005,60th and Western,2020,Current Obligations,Program administration,-5600,05/09/1996,12/31/2020
T-005,60th and Western,2020,Proposed Transfers,To 63rd/Ashland (SBIF),-400000,05/09/1996,12/31/2020
T-005,60th and Western,2020,Revenue,Property tax,282300,05/09/1996,12/31/2020
T-005,60th and Western,2020,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-16900,05/09/1996,12/31/2020
T-005,60th and Western,Fund / Project Balances,Current Obligations,Englewood Trails feasibility study,-9700,05/09/1996,12/31/2020
T-005,60th and Western,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-514200,05/09/1996,12/31/2020
T-005,60th and Western,Fund / Project Balances,Current Obligations,Professional services,-400,05/09/1996,12/31/2020
T-005,60th and Western,Fund / Project Balances,Fund Balance,FY 2019 Year End Available Fund Balance,847500,05/09/1996,12/31/2020
T-009,95th and Western,2020,Current Obligations,CDOT - Lighting - decorative pole replacement,-230000,07/13/1995,12/31/2031
T-009,95th and Western,2020,Current Obligations,CDOT - Streetscape - 95th St - (Phase 3) - 2018/2020 - cashflow adjustment,-2202200,07/13/1995,12/31/2031
T-009,95th and Western,2020,Current Obligations,Program administration,-28300,07/13/1995,12/31/2031
T-009,95th and Western,2020,Revenue,Property tax,1492200,07/13/1995,12/31/2031
T-009,95th and Western,2020,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-89500,07/13/1995,12/31/2031
T-009,95th and Western,2021,Current Obligations,CDOT - Streetscape - 95th St - (Phase 3) - 2018/2020 - cashflow adjustment,-1101100,07/13/1995,12/31/2031
T-009,95th and Western,2021,Current Obligations,Program administration,-28800,07/13/1995,12/31/2031
T-009,95th and Western,2021,Current Obligations,SBIF,-500000,07/13/1995,12/31/2031
T-009,95th and Western,2021,Proposed Projects,AIS - CPL - Library - Beverly Library - 1962 W 95th St - Interior/Exterior/MEP/BAS/Life-Safety,-525000,07/13/1995,12/31/2031
T-009,95th and Western,2021,Proposed Projects,AIS - Fire Station - Engine Co. 121 - 1724 W 95th St - MEP,-200000,07/13/1995,12/31/2031
T-009,95th and Western,2021,Proposed Projects,"CDOT - Streetscape - 95th St - (Phase 4) - 95th St, Wood to St. Charles - Design",-400000,07/13/1995,12/31/2031
T-009,95th and Western,2021,Revenue,Property tax,1492200,07/13/1995,12/31/2031
T-009,95th and Western,2021,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-271000,07/13/1995,12/31/2031
T-009,95th and Western,2022,Current Obligations,Program administration,-29400,07/13/1995,12/31/2031
T-009,95th and Western,2022,Proposed Projects,"CDOT - Streetscape - 95th St - (Phase 4) - 95th St, Wood to St. Charles - Construction",-1600000,07/13/1995,12/31/2031
T-009,95th and Western,2022,Revenue,Property tax,1570200,07/13/1995,12/31/2031
T-009,95th and Western,2023,Current Obligations,Program administration,-30000,07/13/1995,12/31/2031
T-009,95th and Western,2023,Proposed Projects,"CDOT - Streetscape - 95th St - (Phase 4) - 95th St, Wood to St. Charles - Construction",-1600000,07/13/1995,12/31/2031
T-009,95th and Western,2023,Proposed Projects,Proposed school project #1,-2400000,07/13/1995,12/31/2031
T-009,95th and Western,2023,Revenue,Property tax,1570200,07/13/1995,12/31/2031
T-009,95th and Western,2024,Current Obligations,Program administration,-30600,07/13/1995,12/31/2031
T-009,95th and Western,2024,Proposed Projects,CDOT - Lighting - Neighborhood Lighting Improvements ($TBD),-800000,07/13/1995,12/31/2031
T-009,95th and Western,2024,Proposed Projects,"CDOT - Streetscape - 95th St - (Phase 4) - 95th St, Wood to St. Charles - Construction",-800000,07/13/1995,12/31/2031
T-009,95th and Western,2024,Proposed Projects,Proposed school project #1,-1200000,07/13/1995,12/31/2031
T-009,95th and Western,2024,Revenue,Property tax,1570200,07/13/1995,12/31/2031
T-009,95th and Western,2025,Current Obligations,Program administration,-31200,07/13/1995,12/31/2031
T-009,95th and Western,2025,Revenue,Property tax,1650600,07/13/1995,12/31/2031
T-009,95th and Western,2026,Current Obligations,Program administration,-31800,07/13/1995,12/31/2031
T-009,95th and Western,2026,Revenue,Property tax,1650600,07/13/1995,12/31/2031
T-009,95th and Western,2027,Current Obligations,Program administration,-32500,07/13/1995,12/31/2031
T-009,95th and Western,2027,Revenue,Property tax,1650600,07/13/1995,12/31/2031
T-009,95th and Western,2028,Current Obligations,Program administration,-33100,07/13/1995,12/31/2031
T-009,95th and Western,2028,Revenue,Property tax,1733400,07/13/1995,12/31/2031
T-009,95th and Western,2029,Current Obligations,Program administration,-33800,07/13/1995,12/31/2031
T-009,95th and Western,2029,Revenue,Property tax,1733400,07/13/1995,12/31/2031
T-009,95th and Western,2030,Current Obligations,Program administration,-34400,07/13/1995,12/31/2031
T-009,95th and Western,2030,Revenue,Property tax,1733400,07/13/1995,12/31/2031
T-009,95th and Western,2031,Current Obligations,Program administration,-35100,07/13/1995,12/31/2031
T-009,95th and Western,2031,Revenue,Property tax,1818600,07/13/1995,12/31/2031
T-009,95th and Western,Fund / Project Balances,Current Obligations,CDOT - Streetscape - 95th St - (Phase 3) - 2018/2020,-3303400,07/13/1995,12/31/2031
T-009,95th and Western,Fund / Project Balances,Current Obligations,CDOT - Streetscape - 95th St - (Phase 3) - 2018/2020 - cashflow adjustment,3303400,07/13/1995,12/31/2031
T-009,95th and Western,Fund / Project Balances,Current Obligations,Environmental remediation,-24700,07/13/1995,12/31/2031
T-009,95th and Western,Fund / Project Balances,Current Obligations,TIF Plan Amendment - 12-Year Extension,-295600,07/13/1995,12/31/2031
T-009,95th and Western,Fund / Project Balances,Fund Balance,FY 2019 Year End Available Fund Balance,3438100,07/13/1995,12/31/2031
T-013,Bryn Mawr/Broadway,2020,Current Obligations,CDOT - Lighting - decorative pole replacement,-530000,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2020,Fund Balance,Surplus TIF Funds - 2020,-2584900,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2020,Revenue,Property tax,2867400,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2020,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-172000,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2020,Transfers Between TIF Districts,From Red Purple Transit (Red Purple Modernization Transit TIF),9581900,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2021,Current Obligations,Divvy station installation,48100,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2021,Current Obligations,Professional services,4700,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2021,Current Obligations,Utility relocation - 5556 N Sheridan,84000,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2021,Current Obligations,Viaduct - improvements - CTA Argyle station,87600,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2021,Fund Balance,Surplus TIF Funds - 2021,-3124200,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2021,Proposed Projects,TIF Works,-50000,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2021,Revenue,Property tax,2867400,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2021,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-424000,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2022,Current Obligations,SBIF,-1000000,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2022,Revenue,Property tax,2990800,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2023,Current Obligations,SBIF,-500000,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2023,Revenue,Property tax,2990800,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2024,Revenue,Property tax,2990800,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2025,Revenue,Property tax,3117800,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2026,Revenue,Property tax,3117800,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2027,Revenue,Property tax,3117800,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2028,Revenue,Property tax,3248700,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2029,Revenue,Property tax,3248700,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2030,Revenue,Property tax,3248700,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2031,Revenue,Property tax,3383500,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,2032,Revenue,Property tax,3383500,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Divvy station installation,-48100,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,IGA - CTA - Red Purple Transit - Red Line reconstruction,-9581900,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Intersection improvements - Bryn Mawr/Sheridan,-230000,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-1108100,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Professional services,-4700,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Retail Corridor Study - Ward 48,-6800,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,SBIF,-841500,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,TIF Works,-62300,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Utility relocation - 5556 N Sheridan,-84000,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Current Obligations,Viaduct - improvements - CTA Argyle station,-87700,12/11/1996,12/31/2032
T-013,Bryn Mawr/Broadway,Fund / Project Balances,Fund Balance,FY 2019 Year End Available Fund Balance,5971300,12/11/1996,12/31/2032
T-021,Englewood Mall,2020,Current Obligations,CDOT - Sidewalk/curb/gutter repairs - ISW - Corridor 07,-250000,11/29/1989,12/31/2025
T-021,Englewood Mall,2020,Current Obligations,Program administration,-15600,11/29/1989,12/31/2025
T-021,Englewood Mall,2020,Revenue,Property tax,751600,11/29/1989,12/31/2025
T-021,Englewood Mall,2020,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-45100,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Current Obligations,Fire Station - 6204 S Green - repairs,2600,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Current Obligations,Program administration,-16300,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Current Obligations,RDA - Halsted Parkways - construction management,24500,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Current Obligations,Retail Thrive Zone,8300,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Proposed Projects,Proposed ISW Project(s),-2708200,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Proposed Projects,Proposed Redevelopment Project #1,-3333400,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Proposed Projects,TIF Works,-50000,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Proposed Transfers,From Englewood Neighborhood (Invest South West Program),3333400,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Revenue,Property tax,751600,11/29/1989,12/31/2025
T-021,Englewood Mall,2021,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-104100,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Current Obligations,Program administration,-17300,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Current Obligations,RDA - Halsted Parkways - site preparation,292500,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Current Obligations,"Sidewalks - 62nd, Green to Halsted",588500,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Proposed Projects,Proposed ISW Project(s),-1708200,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Proposed Projects,Proposed Redevelopment Project #1,-3333400,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Proposed Transfers,From Englewood Neighborhood (Invest South West Program),3333400,11/29/1989,12/31/2025
T-021,Englewood Mall,2022,Revenue,Property tax,781300,11/29/1989,12/31/2025
T-021,Englewood Mall,2023,Current Obligations,Program administration,-20300,11/29/1989,12/31/2025
T-021,Englewood Mall,2023,Proposed Projects,Proposed ISW Project(s),-708200,11/29/1989,12/31/2025
T-021,Englewood Mall,2023,Proposed Projects,Proposed Redevelopment Project #1,-3333400,11/29/1989,12/31/2025
T-021,Englewood Mall,2023,Proposed Transfers,From Englewood Neighborhood (Invest South West Program),3333400,11/29/1989,12/31/2025
T-021,Englewood Mall,2023,Revenue,Property tax,781300,11/29/1989,12/31/2025
T-021,Englewood Mall,2024,Current Obligations,Program administration,-26400,11/29/1989,12/31/2025
T-021,Englewood Mall,2024,Revenue,Property tax,781300,11/29/1989,12/31/2025
T-021,Englewood Mall,2025,Current Obligations,Program administration,-27500,11/29/1989,12/31/2025
T-021,Englewood Mall,2025,Revenue,Property tax,811800,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,Fire Station - 6204 S Green - repairs,-2600,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,Invest South West Program (ISW) - Phase I - Corridor 07,-150800,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-200000,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,RDA - Halsted Parkways - construction management,-24500,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,RDA - Halsted Parkways - site preparation,-292500,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,Retail Thrive Zone,-8300,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,SBIF - Retail Thrive Zone,-500000,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,"Sidewalks - 62nd, Green to Halsted",-588500,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Current Obligations,TIF Works,-75000,11/29/1989,12/31/2025
T-021,Englewood Mall,Fund / Project Balances,Fund Balance,FY 2019 Year End Available Fund Balance,4846000,11/29/1989,12/31/2025
T-023,Goose Island,2020,Current Obligations,CDOT - RR Track Removal - 1100-1600 N Cherry Ave,-1140700,07/10/1996,12/31/2032
T-023,Goose Island,2020,Current Obligations,RDA - Guardian Equipment,-120000,07/10/1996,12/31/2032
T-023,Goose Island,2020,Current Obligations,RDA - Wrigley Innovation Center,-750300,07/10/1996,12/31/2032
T-023,Goose Island,2020,Fund Balance,Surplus TIF Funds - 2020,-9183000,07/10/1996,12/31/2032
T-023,Goose Island,2020,Revenue,Property tax,7473100,07/10/1996,12/31/2032
T-023,Goose Island,2020,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-448400,07/10/1996,12/31/2032
T-023,Goose Island,2020,Transfers Between TIF Districts,To Cortland Chicago River (Street improvements),-100000,07/10/1996,12/31/2032
T-023,Goose Island,2021,Current Obligations,CDOT - RR Track Removal - 1100-1600 N Cherry Ave,-459300,07/10/1996,12/31/2032
T-023,Goose Island,2021,Current Obligations,Pedestrial safety improvements,27500,07/10/1996,12/31/2032
T-023,Goose Island,2021,Current Obligations,RDA - Guardian Equipment,-11800,07/10/1996,12/31/2032
T-023,Goose Island,2021,Fund Balance,Surplus TIF Funds - 2021,-9367100,07/10/1996,12/31/2032
T-023,Goose Island,2021,Proposed Projects,AIS - CDPH - Household Hazardous Waste Recycling Center - 1140 N. North Branch - Lighting/Interior Upgrades,-105000,07/10/1996,12/31/2032
T-023,Goose Island,2021,Proposed Projects,TIF Works,-125000,07/10/1996,12/31/2032
T-023,Goose Island,2021,Revenue,Property tax,7473100,07/10/1996,12/31/2032
T-023,Goose Island,2021,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-849100,07/10/1996,12/31/2032
T-023,Goose Island,2022,Revenue,Property tax,7725200,07/10/1996,12/31/2032
T-023,Goose Island,2023,Revenue,Property tax,7725200,07/10/1996,12/31/2032
T-023,Goose Island,2024,Revenue,Property tax,7725200,07/10/1996,12/31/2032
T-023,Goose Island,2025,Revenue,Property tax,7985000,07/10/1996,12/31/2032
T-023,Goose Island,2026,Revenue,Property tax,7985000,07/10/1996,12/31/2032
T-023,Goose Island,2027,Revenue,Property tax,7985000,07/10/1996,12/31/2032
T-023,Goose Island,2028,Revenue,Property tax,8252500,07/10/1996,12/31/2032
T-023,Goose Island,2029,Revenue,Property tax,8252500,07/10/1996,12/31/2032
T-023,Goose Island,2030,Revenue,Property tax,8252500,07/10/1996,12/31/2032
T-023,Goose Island,2031,Revenue,Property tax,8528100,07/10/1996,12/31/2032
T-023,Goose Island,2032,Revenue,Property tax,8528100,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Current Obligations,Bridge - Division St - pre-construction,-2551300,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Current Obligations,Bridge - Division/Chicago River,-9100,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Current Obligations,Bridge - Division/N Branch Canal,-4005900,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Current Obligations,Lighting - Neighborhood Lighting Improvements,-484600,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Current Obligations,North Branch Industrial Corridor Planning Study,-31700,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Current Obligations,North Branch Transportation Study,-90000,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Current Obligations,Pedestrial safety improvements,-28800,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Current Obligations,Planned Manufacturing District study,-200,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Current Obligations,TIF Plan Amendment - 12-Year Extension,-294700,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Current Obligations,TIF Works,-65600,07/10/1996,12/31/2032
T-023,Goose Island,Fund / Project Balances,Fund Balance,FY 2019 Year End Available Fund Balance,19697800,07/10/1996,12/31/2032
T-024,Homan-Arthington,2020,Current Obligations,CDOT - Lighting - decorative pole replacement,-80000,02/05/1998,12/31/2022
T-024,Homan-Arthington,2020,Current Obligations,Professional Services - 24th Year Extension,-2000,02/05/1998,12/31/2022
T-024,Homan-Arthington,2020,Current Obligations,Program administration,-15500,02/05/1998,12/31/2022
T-024,Homan-Arthington,2020,Current Obligations,RDA - Uhlich Children's Advantage Network,-500000,02/05/1998,12/31/2022
T-024,Homan-Arthington,2020,Fund Balance,Surplus TIF Funds - 2020,-111000,02/05/1998,12/31/2022
T-024,Homan-Arthington,2020,Revenue,Property tax,636300,02/05/1998,12/31/2022
T-024,Homan-Arthington,2020,Revenue,Property Tax - Potential Covid-19 Impact - Collection/Assessment/Appeal Adjustments - 2020/2021,-38200,02/05/1998,12/31/2022
T-024,Homan-Arthington,2021,Current Obligations,Lawndale RR Line - Development Framework Plan,-45000,02/05/1998,12/31/2022
T-024,Homan-Arthington,2021,Current Obligations,Lawndale RR Line - Preliminary RR Study,-90000,02/05/1998,12/31/2022
