TIF Number,TIF1,TIF2,Direction,Amount,Project
T-113,Roseland/Michigan,119th/Halsted,From,2333400,Invest South West Program
T-113,Roseland/Michigan,North Pullman,To,-160000,RDA - Whole Foods Distribution
T-149,Stevenson/Brighton,Midway Ind. Corr.,From,6000000,Park District headquarters
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,North Pullman,To,-1500000,Gately Park
T-171,West Woodlawn,Woodlawn,From,176000,Planning study
T-171,West Woodlawn,Woodlawn,From,250000,SBIF
T-084,Western Avenue North,Western Ave. South,From,5400000,Streetscape - Lawrence Av
T-085,Western Avenue South,Western Ave. North,To,-5400000,Streetscape - Lawrence Av
T-048,Western/Ogden,Roosevelt/Racine,To,-11333400,CHA Transformation project
T-110,Wilson Yard,Montrose/Clarendon,To,-3450000,Park - Clarendon Park Fieldhouse
T-065,Woodlawn,West Woodlawn,To,-250000,SBIF
T-065,Woodlawn,West Woodlawn,To,-176000,Planning study
